locus_tag	ftype	length_bp	gene	EC_number	COG	product
ECADFAHP_00096	CDS	762	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
ECADFAHP_00097	CDS	750	djlA_1			DnaJ-like protein DjlA
ECADFAHP_00098	CDS	732				hypothetical protein
ECADFAHP_00099	CDS	819	pigC	6.4.-.-		Prodigiosin synthesizing transferase PigC
ECADFAHP_00100	CDS	1662	cmdD			Chondramide synthase cmdD
ECADFAHP_00101	CDS	1359	qacA		COG0477	Antiseptic resistance protein
ECADFAHP_00102	tRNA	85				tRNA-Leu(tag)
ECADFAHP_00103	CDS	795	paaG_1	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
ECADFAHP_00104	CDS	804				hypothetical protein
ECADFAHP_00105	CDS	675				hypothetical protein
ECADFAHP_00106	CDS	591	sodB_1	1.15.1.1		Superoxide dismutase [Fe]
ECADFAHP_00107	CDS	1641	groL_1		COG0459	60 kDa chaperonin
ECADFAHP_00108	CDS	291	groS		COG0234	10 kDa chaperonin
ECADFAHP_00109	CDS	564				hypothetical protein
ECADFAHP_00110	CDS	363				DNA base-flipping protein
ECADFAHP_00111	CDS	1305	ampG		COG0477	Protein AmpG
ECADFAHP_00112	CDS	486				hypothetical protein
ECADFAHP_00113	CDS	129				hypothetical protein
ECADFAHP_00114	CDS	879	hmuU		COG0609	Hemin transport system permease protein HmuU
ECADFAHP_00115	CDS	768	fhuC	3.6.3.34	COG1120	Iron(3+)-hydroxamate import ATP-binding protein FhuC
ECADFAHP_00116	CDS	1647	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
ECADFAHP_00117	CDS	2694	aceE	1.2.4.1	COG2609	Pyruvate dehydrogenase E1 component
ECADFAHP_00118	CDS	966				hypothetical protein
ECADFAHP_00119	CDS	570	ampD	3.5.1.28	COG3023	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD
ECADFAHP_00120	CDS	1545				hypothetical protein
ECADFAHP_00121	CDS	546				hypothetical protein
ECADFAHP_00122	CDS	867	nadC	2.4.2.19	COG0157	Nicotinate-nucleotide pyrophosphorylase [carboxylating]
ECADFAHP_00123	CDS	696				hypothetical protein
ECADFAHP_00124	CDS	396				hypothetical protein
ECADFAHP_00125	CDS	417	pilE_2			Fimbrial protein
ECADFAHP_00126	CDS	417	pilE1		COG4969	Fimbrial protein
ECADFAHP_00127	CDS	723				hypothetical protein
ECADFAHP_00128	CDS	1515	epsE_1		COG2804	Type II secretion system protein E
ECADFAHP_00129	CDS	1218	epsF_1		COG1459	Type II secretion system protein F
ECADFAHP_00130	CDS	900	outO			Type 4 prepilin-like proteins leader peptide-processing enzyme
ECADFAHP_00131	CDS	603	coaE	2.7.1.24	COG0237	Dephospho-CoA kinase
ECADFAHP_00132	CDS	189	yacG		COG3024	DNA gyrase inhibitor YacG
ECADFAHP_00133	CDS	1521				hypothetical protein
ECADFAHP_00134	CDS	486				hypothetical protein
ECADFAHP_00135	CDS	447	mutT_1	3.6.1.55	COG0494	8-oxo-dGTP diphosphatase
ECADFAHP_00136	CDS	1218	argJ_1			Arginine biosynthesis bifunctional protein ArgJ
ECADFAHP_00137	CDS	720	secA_1		COG0653	Protein translocase subunit SecA
ECADFAHP_00138	CDS	120				hypothetical protein
ECADFAHP_00139	CDS	576	podJ			Localization factor PodJL
ECADFAHP_00140	CDS	597				hypothetical protein
ECADFAHP_00141	CDS	363				hypothetical protein
ECADFAHP_00142	CDS	552	rpoE_1			ECF RNA polymerase sigma-E factor
ECADFAHP_00143	CDS	432				hypothetical protein
ECADFAHP_00144	CDS	2433	quiP	3.5.1.97	COG2366	Acyl-homoserine lactone acylase QuiP
ECADFAHP_00145	CDS	399				hypothetical protein
ECADFAHP_00146	CDS	621	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GST-6.0
ECADFAHP_00147	CDS	804	fmt_1	2.1.2.9		Methionyl-tRNA formyltransferase
ECADFAHP_00148	CDS	1434	gdhB_1	1.1.5.2	COG2133	Quinoprotein glucose dehydrogenase B
ECADFAHP_00149	CDS	1176				hypothetical protein
ECADFAHP_00150	CDS	603				hypothetical protein
ECADFAHP_00151	CDS	432	hrp1			Hypoxic response protein 1
ECADFAHP_00152	CDS	1506	ylmA	3.6.3.-	COG1119	putative ABC transporter ATP-binding protein YlmA
ECADFAHP_00153	CDS	747				hypothetical protein
ECADFAHP_00154	CDS	1020			COG0627	putative protein
ECADFAHP_00155	CDS	774	bacC	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
ECADFAHP_00156	CDS	1026	gap	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase
ECADFAHP_00157	CDS	969	ucpA_1	1.-.-.-		Oxidoreductase UcpA
ECADFAHP_00158	CDS	1539				hypothetical protein
ECADFAHP_00159	CDS	942	nlhH_1	3.1.1.1	COG0657	Carboxylesterase NlhH
ECADFAHP_00160	CDS	531				hypothetical protein
ECADFAHP_00161	CDS	930	uspE_1		COG0589	Universal stress protein E
ECADFAHP_00162	CDS	909	rlmL_1		COG0116	Ribosomal RNA large subunit methyltransferase K/L
ECADFAHP_00163	CDS	672	vatD	2.3.1.-		Streptogramin A acetyltransferase
ECADFAHP_00164	CDS	1797	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
ECADFAHP_00165	CDS	1272	yedY_1	1.8.-.-		Sulfoxide reductase catalytic subunit YedY
ECADFAHP_00166	CDS	528				hypothetical protein
ECADFAHP_00167	CDS	2283				hypothetical protein
ECADFAHP_00168	CDS	1167				hypothetical protein
ECADFAHP_00169	CDS	1545	cueO_1		COG2132	Blue copper oxidase CueO
ECADFAHP_00170	CDS	435				hypothetical protein
ECADFAHP_00171	CDS	432				hypothetical protein
ECADFAHP_00172	CDS	336				hypothetical protein
ECADFAHP_00173	CDS	486				hypothetical protein
ECADFAHP_00174	CDS	1680				hypothetical protein
ECADFAHP_00175	CDS	1089	dcsD_1	2.6.99.3		O-ureido-L-serine synthase
ECADFAHP_00176	CDS	396				hypothetical protein
ECADFAHP_00177	CDS	435				hypothetical protein
ECADFAHP_00178	CDS	765				hypothetical protein
ECADFAHP_00179	CDS	1017				hypothetical protein
ECADFAHP_00180	CDS	1314				hypothetical protein
ECADFAHP_00181	CDS	375				hypothetical protein
ECADFAHP_00182	CDS	480				hypothetical protein
ECADFAHP_00183	CDS	1410				hypothetical protein
ECADFAHP_00184	CDS	1434	mleN_1		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
ECADFAHP_00185	CDS	2055	prlC_1	3.4.24.70	COG0339	Oligopeptidase A
ECADFAHP_00186	CDS	2553	tolB_1		COG0823	Protein TolB
ECADFAHP_00187	CDS	1494	glpD_1	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
ECADFAHP_00188	CDS	480				hypothetical protein
ECADFAHP_00189	CDS	501	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
ECADFAHP_00190	CDS	1080	recA		COG0468	Protein RecA
ECADFAHP_00191	CDS	459	recX		COG2137	Regulatory protein RecX
ECADFAHP_00192	CDS	1254				hypothetical protein
ECADFAHP_00193	CDS	468	ibpA		COG0071	Small heat shock protein IbpA
ECADFAHP_00194	CDS	456				hypothetical protein
ECADFAHP_00195	CDS	1449	prpD	4.2.1.79	COG2079	2-methylcitrate dehydratase
ECADFAHP_00196	CDS	1125	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
ECADFAHP_00197	CDS	885	prpB	4.1.3.30	COG2513	2-methylisocitrate lyase
ECADFAHP_00198	CDS	675	rspR		COG1802	HTH-type transcriptional repressor RspR
ECADFAHP_00199	CDS	1365				hypothetical protein
ECADFAHP_00200	CDS	609				hypothetical protein
ECADFAHP_00201	CDS	1335				hypothetical protein
ECADFAHP_00202	CDS	1926	mecR1			Methicillin resistance mecR1 protein
ECADFAHP_00203	CDS	387	blaI_1		COG3682	Penicillinase repressor
ECADFAHP_00204	CDS	435				hypothetical protein
ECADFAHP_00205	CDS	228				hypothetical protein
ECADFAHP_00206	CDS	1353		2.4.1.-		PGL/p-HBAD biosynthesis glycosyltransferase
ECADFAHP_00207	CDS	336				hypothetical protein
ECADFAHP_00208	CDS	447				hypothetical protein
ECADFAHP_00209	CDS	1011				hypothetical protein
ECADFAHP_00210	CDS	1536	ntrC		COG2204	DNA-binding transcriptional regulator NtrC
ECADFAHP_00211	CDS	651	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
ECADFAHP_00212	CDS	1074	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
ECADFAHP_00213	CDS	1230				hypothetical protein
ECADFAHP_00214	CDS	720	hda		COG0593	DnaA regulatory inactivator Hda
ECADFAHP_00215	CDS	327				hypothetical protein
ECADFAHP_00216	CDS	600		1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
ECADFAHP_00217	CDS	351	yfgD		COG1393	putative protein YfgD
ECADFAHP_00218	CDS	1338				hypothetical protein
ECADFAHP_00219	CDS	1743	proS	6.1.1.15	COG0442	Proline--tRNA ligase
ECADFAHP_00220	CDS	390				hypothetical protein
ECADFAHP_00221	CDS	327				hypothetical protein
ECADFAHP_00222	CDS	1809	aspS	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
ECADFAHP_00223	CDS	744	pmpR		COG0217	Transcriptional regulatory protein PmpR
ECADFAHP_00224	CDS	519	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
ECADFAHP_00225	CDS	606	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
ECADFAHP_00226	CDS	1077	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
ECADFAHP_00227	CDS	687	tolQ_1		COG0811	Protein TolQ
ECADFAHP_00228	CDS	441	exbD_1		COG0848	Biopolymer transport protein ExbD
ECADFAHP_00229	CDS	900	tolA			Protein TolA
ECADFAHP_00230	CDS	1314	tolB_2		COG0823	Protein TolB
ECADFAHP_00231	CDS	546	pal_1		COG2885	Peptidoglycan-associated lipoprotein
ECADFAHP_00232	CDS	1029	cpoB_1		COG1729	Cell division coordinator CpoB
ECADFAHP_00233	CDS	654	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
ECADFAHP_00234	CDS	672	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
ECADFAHP_00235	tRNA	76				tRNA-Lys(ttt)
ECADFAHP_00236	CDS	1092	nadA	2.5.1.72	COG0379	Quinolinate synthase A
ECADFAHP_00237	CDS	1461	bepA_1	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
ECADFAHP_00238	CDS	228	tusA_1		COG0425	Sulfur carrier protein TusA
ECADFAHP_00239	CDS	1107				hypothetical protein
ECADFAHP_00240	CDS	900	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
ECADFAHP_00241	CDS	1056			COG3317	putative protein
ECADFAHP_00242	CDS	1401				hypothetical protein
ECADFAHP_00243	CDS	600				hypothetical protein
ECADFAHP_00244	CDS	567	inlA_1		COG4886	Internalin-A
ECADFAHP_00245	CDS	702	mip	5.2.1.8	COG0545	Outer membrane protein MIP
ECADFAHP_00246	CDS	1308	apeB	3.4.11.-	COG1362	putative M18 family aminopeptidase 2
ECADFAHP_00247	CDS	1980	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
ECADFAHP_00248	CDS	999	prfB		COG1186	Peptide chain release factor RF2
ECADFAHP_00249	CDS	1494	lysU	6.1.1.6	COG1190	Lysine--tRNA ligase, heat inducible
ECADFAHP_00250	CDS	720	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
ECADFAHP_00251	CDS	1239	camA	1.18.1.5		Putidaredoxin reductase CamA
ECADFAHP_00252	CDS	420	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
ECADFAHP_00253	CDS	2352	cyaA_1	4.6.1.1	COG2114	Adenylate cyclase 1
ECADFAHP_00254	tRNA	76				tRNA-Val(tac)
ECADFAHP_00255	tRNA	77				tRNA-Asp(gtc)
ECADFAHP_00256	CDS	927	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
ECADFAHP_00257	CDS	891	nadK	2.7.1.23	COG0061	NAD kinase
ECADFAHP_00258	CDS	864	glpG	3.4.21.105	COG0705	Rhomboid protease GlpG
ECADFAHP_00259	CDS	312				hypothetical protein
ECADFAHP_00260	CDS	828				hypothetical protein
ECADFAHP_00261	CDS	2706	pepN_1	3.4.11.2	COG0308	Aminopeptidase N
ECADFAHP_00262	CDS	2595	acnB	4.2.1.3	COG1049	Aconitate hydratase B
ECADFAHP_00263	CDS	459				hypothetical protein
ECADFAHP_00264	CDS	744	lpxH	3.6.1.54	COG2908	UDP-2,3-diacylglucosamine hydrolase
ECADFAHP_00265	CDS	495	ppiB_1	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
ECADFAHP_00266	CDS	1752	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
ECADFAHP_00267	CDS	1389	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
ECADFAHP_00268	tRNA	77				tRNA-Pro(tgg)
ECADFAHP_00269	tRNA	76				tRNA-His(gtg)
ECADFAHP_00270	CDS	255				hypothetical protein
ECADFAHP_00271	tRNA	77				tRNA-Arg(tct)
ECADFAHP_00272	CDS	342				hypothetical protein
ECADFAHP_00273	CDS	963				hypothetical protein
ECADFAHP_00274	CDS	762		2.4.2.44	COG0005	S-methyl-5'-thioinosine phosphorylase
ECADFAHP_00275	CDS	918				hypothetical protein
ECADFAHP_00276	CDS	3456	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
ECADFAHP_00277	CDS	1710	gap2	1.2.1.-		Glyceraldehyde-3-phosphate dehydrogenase-like protein
ECADFAHP_00278	CDS	1371	nqrA	1.6.5.8	COG1726	Na(+)-translocating NADH-quinone reductase subunit A
ECADFAHP_00279	CDS	1242	nqrB	1.6.5.8	COG1805	Na(+)-translocating NADH-quinone reductase subunit B
ECADFAHP_00280	CDS	801	nqrC	1.6.5.8	COG2869	Na(+)-translocating NADH-quinone reductase subunit C
ECADFAHP_00281	CDS	663	nqrD	1.6.5.8	COG1347	Na(+)-translocating NADH-quinone reductase subunit D
ECADFAHP_00282	CDS	612	nqrE	1.6.5.8	COG2209	Na(+)-translocating NADH-quinone reductase subunit E
ECADFAHP_00283	CDS	1230	nqrF	1.6.5.8	COG2871	Na(+)-translocating NADH-quinone reductase subunit F
ECADFAHP_00284	CDS	1065	apbE_2	2.7.1.180	COG1477	FAD:protein FMN transferase
ECADFAHP_00285	CDS	213				hypothetical protein
ECADFAHP_00286	CDS	1386	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
ECADFAHP_00287	CDS	471	guaB_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
ECADFAHP_00288	CDS	462				hypothetical protein
ECADFAHP_00289	CDS	249				hypothetical protein
ECADFAHP_00290	CDS	519	ndhC	1.6.5.-		NAD(P)H-quinone oxidoreductase subunit 3
ECADFAHP_00291	CDS	642	nuoB	1.6.5.11	COG0377	NADH-quinone oxidoreductase subunit B
ECADFAHP_00292	CDS	1776	nuoC	1.6.5.11	COG0649	NADH-quinone oxidoreductase subunit C/D
ECADFAHP_00293	CDS	513	nuoE	1.6.5.11	COG1905	NADH-quinone oxidoreductase subunit E
ECADFAHP_00294	CDS	1281	nuoF	1.6.5.11	COG1894	NADH-quinone oxidoreductase subunit F
ECADFAHP_00295	CDS	2730	nuoG	1.6.5.11	COG1034	NADH-quinone oxidoreductase subunit G
ECADFAHP_00296	CDS	957	nuoH	1.6.5.11	COG1005	NADH-quinone oxidoreductase subunit H
ECADFAHP_00297	CDS	540	nuoI	1.6.5.11	COG1143	NADH-quinone oxidoreductase subunit I
ECADFAHP_00298	CDS	483	nuoJ	1.6.5.11	COG0839	NADH-quinone oxidoreductase subunit J
ECADFAHP_00299	CDS	309	nuoK	1.6.5.11	COG0713	NADH-quinone oxidoreductase subunit K
ECADFAHP_00300	CDS	1851	nuoL	1.6.5.11	COG1009	NADH-quinone oxidoreductase subunit L
ECADFAHP_00301	CDS	1491	nuoM	1.6.5.11	COG1008	NADH-quinone oxidoreductase subunit M
ECADFAHP_00302	CDS	1461	nuoN	1.6.5.11	COG1007	NADH-quinone oxidoreductase subunit N
ECADFAHP_00303	CDS	696	rnfG		COG4659	Electron transport complex subunit RnfG
ECADFAHP_00304	CDS	762		2.1.1.-	COG0500	putative methyltransferase
ECADFAHP_00305	CDS	1032	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
ECADFAHP_00306	CDS	507				hypothetical protein
ECADFAHP_00307	CDS	459	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
ECADFAHP_00308	CDS	948				hypothetical protein
ECADFAHP_00309	CDS	543	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
ECADFAHP_00310	CDS	876	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
ECADFAHP_00311	CDS	1089	aroC	4.2.3.5	COG0082	Chorismate synthase
ECADFAHP_00312	CDS	1425	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
ECADFAHP_00313	CDS	654	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
ECADFAHP_00314	CDS	1020	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
ECADFAHP_00315	CDS	2955				hypothetical protein
ECADFAHP_00316	CDS	852	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
ECADFAHP_00317	CDS	633	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
ECADFAHP_00318	CDS	1221	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
ECADFAHP_00319	CDS	819	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
ECADFAHP_00320	CDS	885	accD	6.4.1.2	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
ECADFAHP_00321	CDS	1311	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
ECADFAHP_00322	CDS	633	dedD			Cell division protein DedD
ECADFAHP_00323	CDS	507	cvpA		COG1286	Colicin V production protein
ECADFAHP_00324	CDS	1530	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
ECADFAHP_00325	CDS	468				hypothetical protein
ECADFAHP_00326	CDS	411				hypothetical protein
ECADFAHP_00327	CDS	153				hypothetical protein
ECADFAHP_00328	CDS	966				hypothetical protein
ECADFAHP_00329	CDS	2046	tgpA_1	2.3.2.13	COG1305	Protein-glutamine gamma-glutamyltransferase
ECADFAHP_00330	CDS	357	yciH		COG0023	putative protein YciH
ECADFAHP_00331	CDS	1785				hypothetical protein
ECADFAHP_00332	CDS	1785				hypothetical protein
ECADFAHP_00333	CDS	1059				hypothetical protein
ECADFAHP_00334	CDS	555				hypothetical protein
ECADFAHP_00335	CDS	984			COG1721	putative protein
ECADFAHP_00336	CDS	960	ravA_1	3.6.3.-		ATPase RavA
ECADFAHP_00337	CDS	4860	gdhB_2	1.4.1.2	COG2902	NAD-specific glutamate dehydrogenase
ECADFAHP_00338	CDS	1026	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
ECADFAHP_00339	CDS	237				hypothetical protein
ECADFAHP_00340	CDS	792	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
ECADFAHP_00341	CDS	1053	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
ECADFAHP_00342	CDS	2679	topA_1	5.99.1.2	COG0550	DNA topoisomerase 1
ECADFAHP_00343	CDS	609	lexA	3.4.21.88	COG1974	LexA repressor
